testCS,correctAns,CS,US,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,p_port_4_start,p_port_4_end,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_2.started,text_2.stopped,p_port_4.started,p_port_4.stopped,Ready.started,Ready.stopped,vend.started,vend.stopped,p_port.started,p_port.stopped,p_port_start,p_port_end,p_port_3_start,p_port_3_end,vend_CS.started,vend_CS.stopped,p_port_3.started,p_port_3.stopped,Outcome.started,Outcome.stopped,reward.started,reward.stopped,p_port_2.started,p_port_2.stopped,vend_testy.started,vend_testy.stopped,choice_text.started,choice_text.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,option_text.started,option_text.stopped,p_port_2_start,p_port_2_end,image.started,image.stopped,p_port_5.started,p_port_5.stopped,p_port_5_start,p_port_5_end,feedback_text.started,feedback_text.stopped,text.started,text.stopped,finish_text.started,finish_text.stopped,Thankyou_text.started,Thankyou_text.stopped,version,participant,CB,participant initials,phase,date,expName,psychopyVersion,frameRate,
CBgreen.png,n,red.png,1,0,2,2,1,1,1,5,0,,,,,,,,,,,,,240.61278362652592,None,0.011465326362667838,1.506185454356455,111,4,117,4,242.24615786335744,245.24605341604547,2.006181077229485,3.5061830393897253,244.2460971873188,None,245.22939557910104,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,070,yes,SK,Vpav,2020_Feb_18_1421,Pavlovian,3.2.4,60.01516378498971,
CBgreen.png,n,green.png,2,0,2,2,1,1,2,6,1,,,,,,,,,,,,,246.12937882526967,None,0.00148230659760884,1.5028891756683151,111,4,117,4,247.729399956228,250.72935044941005,2.0028820817024098,3.5028801195421693,249.72936192050292,None,250.71268808440254,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,070,yes,SK,Vpav,2020_Feb_18_1421,Pavlovian,3.2.4,60.01516378498971,
CBgreen.png,n,yellow.png,4,0,2,2,1,1,3,7,3,,,,,,,,,,,,,251.61271238500558,None,0.005963156665529823,1.495200102639501,111,4,117,4,253.14618548454018,256.1459850422998,2.011862014840517,3.511849789070766,255.14598806100912,None,256.1459850422998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,070,yes,SK,Vpav,2020_Feb_18_1421,Pavlovian,3.2.4,60.01516378498971,
CBgreen.png,n,yellow.png,4,0,2,2,1,2,0,8,3,,,,,,,,,,,,,257.14600375829286,None,0.002217150793512701,1.5043104741653224,111,4,117,4,258.62937263691674,261.62928599998486,2.0043121344551764,3.504292663785236,260.62928992430534,None,261.61261759756053,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,070,yes,SK,Vpav,2020_Feb_18_1421,Pavlovian,3.2.4,60.01516378498971,
CBgreen.png,n,green.png,2,0,2,2,1,2,1,9,1,,,,,,,,,,,,,262.645975533369,None,0.0014271849813667359,1.5027703593041224,111,4,117,4,264.1960140973679,267.1959135743782,2.0027804719775304,3.5027634162743198,266.19592866791936,None,267.17924939814475,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,070,yes,SK,Vpav,2020_Feb_18_1421,Pavlovian,3.2.4,60.01516378498971,
CBgreen.png,n,blue.png,3,0,2,2,1,2,2,10,2,,,,,,,,,,,,,268.11261020172606,None,0.005576369552727556,1.5110370621951006,111,4,117,4,269.8126136732408,272.81254877100764,2.011018799008525,None,271.8125532990707,None,272.79588308542225,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,070,yes,SK,Vpav,2020_Feb_18_1421,Pavlovian,3.2.4,60.01516378498971,
CBgreen.png,n,red.png,1,0,2,2,1,2,3,11,0,,,,,,,,,,,,,273.6125883160894,None,0.008076554448052775,1.4994265963323414,111,4,117,4,275.26260982438725,278.26252047061644,1.9993865984451986,3.4993822213182284,277.262556393247,None,278.24584784200124,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,070,yes,SK,Vpav,2020_Feb_18_1421,Pavlovian,3.2.4,60.01516378498971,
CBgreen.png,n,,,0,2,2,1,,,,,,,,,,,,,,,,,279.1792065324844,None,,,,,,,,,,,,,,,0.016421079641077085,1.0161167938294966,280.74586489770445,None,281.7458344087481,None,n,1,3.4241469507269358,281.7458344087481,None,280.74586489770445,None,159,4,280.74586489770445,None,0.011317288899590494,None,119,4,285.4291462337842,None,,,,,,,B,070,yes,SK,Vpav,2020_Feb_18_1421,Pavlovian,3.2.4,60.01516378498971,
CBred.png,b,green.png,2,0,3,3,0,0,0,0,1,,,,,,,,,,,,,287.6457995426663,None,0.0007930448973638704,1.5015022904462967,111,4,117,4,289.29581742851406,292.295757959957,2.00151270499191,3.501495347418313,291.29576188427745,None,292.2790934818531,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,070,yes,SK,Vpav,2020_Feb_18_1421,Pavlovian,3.2.4,60.01516378498971,
CBred.png,b,red.png,1,0,3,3,0,0,1,1,0,,,,,,,,,,,,,293.16241798546434,None,0.013574528140452458,1.5104506177049188,111,4,117,4,294.82916223293796,297.82905989872233,2.0104208834272868,None,296.82908676522675,None,297.81239360939435,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,070,yes,SK,Vpav,2020_Feb_18_1421,Pavlovian,3.2.4,60.01516378498971,
