tests.thisRepN,tests.thisTrialN,tests.thisN,tests.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,repA.thisRepN,repA.thisTrialN,repA.thisN,repA.thisIndex,repB.thisRepN,repB.thisTrialN,repB.thisN,repB.thisIndex,slider.response,slider.rt,slider.started,slider.stopped,text.started,text.stopped,text_5.started,text_5.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_6.started,text_6.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,p_port_2.started,p_port_2.stopped,Instructions_text.started,Instructions_text.stopped,p_port_2_start,p_port_2_end,image.started,image.stopped,text_7.started,text_7.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,vending_machine.started,vending_machine.stopped,p_port_3.started,p_port_3.stopped,p_port_3_start,p_port_3_end,vendingB_image.started,vendingB_image.stopped,rewardB_image.started,rewardB_image.stopped,text_3.started,text_3.stopped,p_port.started,p_port.stopped,p_port_start,p_port_end,vendingA_image.started,vendingA_image.stopped,rewardA_image.started,rewardA_image.stopped,text_2.started,text_2.stopped,test_question.started,test_question.stopped,test_instructions.started,test_instructions.stopped,test_image.started,test_image.stopped,test_response.keys,test_response.corr,test_response.rt,test_response.started,test_response.stopped,p_port_5.started,p_port_5.stopped,p_port_5_start,p_port_5_end,feedback_text.started,feedback_text.stopped,text_4.started,text_4.stopped,finish_text.started,finish_text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,version,sequence #,participant,participant initials,phase,date,expName,psychopyVersion,frameRate,
4,0,4,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.81241564596712,None,0.014923196509698755,None,103,4,220.9957991653282,None,220.9957991653282,None,221.97909363278995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,1,070,SK,VIns,2020_Feb_18_1412,Instrumental,3.2.4,60.00505374365455,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,1,070,SK,VIns,2020_Feb_18_1412,Instrumental,3.2.4,60.00505374365455,
4,0,4,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.11239557155568,None,,,,,,,,,,,0.014866746663756203,None,101,4,226.61242138151283,None,226.61242138151283,None,227.5956871712442,None,,,,,,,,,,,,,,,,,,,,,,,,,,B,1,070,SK,VIns,2020_Feb_18_1412,Instrumental,3.2.4,60.00505374365455,
4,0,4,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,1,070,SK,VIns,2020_Feb_18_1412,Instrumental,3.2.4,60.00505374365455,
4,0,4,0,2,0,2,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.72908208623085,None,0.01462343876119121,None,103,4,232.21234621567237,None,232.21234621567237,None,233.19566664402737,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,1,070,SK,VIns,2020_Feb_18_1412,Instrumental,3.2.4,60.00505374365455,
4,0,4,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,1,070,SK,VIns,2020_Feb_18_1412,Instrumental,3.2.4,60.00505374365455,
4,0,4,0,3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.3290606533992,None,,,,,,,,,,,0.014409110463020625,None,101,4,237.92896586595452,None,237.92896586595452,None,238.9123041046896,None,,,,,,,,,,,,,,,,,,,,,,,,,,B,1,070,SK,VIns,2020_Feb_18_1412,Instrumental,3.2.4,60.00505374365455,
4,0,4,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,1,070,SK,VIns,2020_Feb_18_1412,Instrumental,3.2.4,60.00505374365455,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.26228350200472,None,240.26228350200472,None,240.76229874648197,None,b,1,1.2599660395298997,240.76229874648197,None,0.0011991819301329087,None,109,4,242.3622661444315,None,,,,,,,,,B,1,070,SK,VIns,2020_Feb_18_1412,Instrumental,3.2.4,60.00505374365455,
5,0,5,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.4455809881747,None,0.014878217754812795,None,103,4,247.4289361316769,None,247.4289361316769,None,248.41228795459938,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,1,070,SK,VIns,2020_Feb_18_1412,Instrumental,3.2.4,60.00505374365455,
