393.9006 	DATA 	Keypress: n
398.1948 	DATA 	Keypress: b
398.4281 	DATA 	Keypress: b
398.6781 	DATA 	Keypress: b
398.9114 	DATA 	Keypress: b
399.1781 	DATA 	Keypress: b
399.4448 	DATA 	Keypress: b
399.4448 	DATA 	win A
402.5781 	DATA 	Keypress: n
402.8780 	DATA 	Keypress: n
403.1614 	DATA 	Keypress: n
403.3947 	DATA 	Keypress: n
403.6781 	DATA 	Keypress: n
403.9292 	DATA 	Keypress: n
404.2281 	DATA 	Keypress: n
404.5448 	DATA 	Keypress: n
405.0947 	DATA 	Keypress: n
405.0948 	DATA 	win B
409.3370 	DATA 	Keypress: n
409.4694 	DATA 	correct
413.2947 	DATA 	Keypress: b
413.5780 	DATA 	Keypress: b
413.8114 	DATA 	Keypress: b
414.0780 	DATA 	Keypress: b
414.3280 	DATA 	Keypress: b
414.5947 	DATA 	Keypress: b
414.8447 	DATA 	Keypress: b
415.9113 	DATA 	Keypress: b
415.9114 	DATA 	win A
416.1330 	DATA 	Keypress: b
418.4969 	DATA 	Keypress: n
418.7948 	DATA 	Keypress: n
419.0619 	DATA 	Keypress: n
419.4280 	DATA 	Keypress: n
419.7946 	DATA 	Keypress: n
420.1280 	DATA 	Keypress: n
420.5290 	DATA 	Keypress: n
420.9447 	DATA 	Keypress: n
421.3446 	DATA 	Keypress: n
421.3448 	DATA 	win B
424.2947 	DATA 	Keypress: b
424.5946 	DATA 	Keypress: b
424.8780 	DATA 	Keypress: b
425.1792 	DATA 	Keypress: b
425.5113 	DATA 	Keypress: b
425.8113 	DATA 	Keypress: b
426.1613 	DATA 	Keypress: b
426.4779 	DATA 	Keypress: b
427.0113 	DATA 	Keypress: b
427.0114 	DATA 	win A
430.4280 	DATA 	Keypress: n
430.7113 	DATA 	Keypress: n
431.0112 	DATA 	Keypress: n
431.2779 	DATA 	Keypress: n
431.6279 	DATA 	Keypress: n
431.9446 	DATA 	Keypress: n
431.9446 	DATA 	win B
436.1548 	DATA 	Keypress: n
436.2850 	DATA 	correct
439.3612 	DATA 	Keypress: b
439.6445 	DATA 	Keypress: b
439.9112 	DATA 	Keypress: b
440.2112 	DATA 	Keypress: b
440.4945 	DATA 	Keypress: b
440.7778 	DATA 	Keypress: b
441.0778 	DATA 	Keypress: b
441.0779 	DATA 	win A
441.3595 	DATA 	Keypress: b
447.1111 	DATA 	Keypress: b
447.1778 	DATA 	Keypress: n
447.4778 	DATA 	Keypress: n
447.7278 	DATA 	Keypress: n
448.0278 	DATA 	Keypress: n
448.2944 	DATA 	Keypress: n
448.6111 	DATA 	Keypress: n
448.6112 	DATA 	win B
448.8864 	DATA 	Keypress: n
452.2444 	DATA 	Keypress: b
452.5111 	DATA 	Keypress: b
452.7777 	DATA 	Keypress: b
453.0444 	DATA 	Keypress: b
453.3278 	DATA 	Keypress: b
453.5944 	DATA 	Keypress: b
453.8944 	DATA 	Keypress: b
454.1611 	DATA 	Keypress: b
454.1612 	DATA 	win A
457.4777 	DATA 	Keypress: n
457.7611 	DATA 	Keypress: n
458.0277 	DATA 	Keypress: n
458.2944 	DATA 	Keypress: n
458.5777 	DATA 	Keypress: n
458.8944 	DATA 	Keypress: n
459.2110 	DATA 	Keypress: n
459.5444 	DATA 	Keypress: n
459.8279 	DATA 	Keypress: n
460.1777 	DATA 	Keypress: n
460.1778 	DATA 	win B
463.3864 	DATA 	Keypress: b
464.4041 	DATA 	Keypress: n
464.5732 	DATA 	correct
467.8610 	DATA 	Keypress: b
468.1277 	DATA 	Keypress: b
468.3958 	DATA 	Keypress: b
468.6610 	DATA 	Keypress: b
468.9443 	DATA 	Keypress: b
469.2277 	DATA 	Keypress: b
469.5443 	DATA 	Keypress: b
469.8110 	DATA 	Keypress: b
470.3943 	DATA 	Keypress: b
470.3944 	DATA 	win A
470.6173 	DATA 	Keypress: b
473.4777 	DATA 	Keypress: n
473.7443 	DATA 	Keypress: n
473.9610 	DATA 	Keypress: n
474.1776 	DATA 	Keypress: n
474.4109 	DATA 	Keypress: n
474.6444 	DATA 	Keypress: n
474.8944 	DATA 	Keypress: n
475.3776 	DATA 	Keypress: n
475.7110 	DATA 	Keypress: n
475.7110 	DATA 	win B
478.7110 	DATA 	Keypress: b
478.9443 	DATA 	Keypress: b
479.1444 	DATA 	Keypress: b
479.3776 	DATA 	Keypress: b
479.6276 	DATA 	Keypress: b
479.8443 	DATA 	Keypress: b
480.0943 	DATA 	Keypress: b
480.3276 	DATA 	Keypress: b
480.3277 	DATA 	win A
483.5610 	DATA 	Keypress: n
483.8109 	DATA 	Keypress: n
484.0276 	DATA 	Keypress: n
484.2609 	DATA 	Keypress: n
484.5109 	DATA 	Keypress: n
484.7609 	DATA 	Keypress: n
484.9776 	DATA 	Keypress: n
485.2609 	DATA 	Keypress: n
485.5442 	DATA 	Keypress: n
485.9276 	DATA 	Keypress: n
485.9277 	DATA 	win B
490.1706 	DATA 	Keypress: n
490.3468 	DATA 	correct
505.0290 	DATA 	Keypress: space
510.4128 	DATA 	Keypress: q
