"block","block_trial","event","eventn","time","et.msg"
"GtA",34,"feedback",149,11294845,"TRIALID -1_34_2_-1_0"
"GtA",35,"face",150,11299845,"TRIALID -1_35_1_F2_0.3"
"GtA",35,"feedback",151,11302346,"TRIALID -1_35_2_-1_1"
"GtA",36,"face",152,11307346,"TRIALID -1_36_1_F2_0.3"
"GtA",36,"feedback",153,11309845,"TRIALID -1_36_2_-1_0"
"GtA",37,"face",154,11314846,"TRIALID -1_37_1_F2_0.3"
"GtA",37,"feedback",155,11317346,"TRIALID 0_37_2_-1_1"
"GtA",38,"face",156,11322347,"TRIALID -1_38_1_F2_0.3"
"GtA",38,"feedback",157,11324847,"TRIALID -1_38_2_-1_1"
"GtA",39,"face",158,11329847,"TRIALID -1_39_1_F2_0.3"
"GtA",39,"feedback",159,11332347,"TRIALID 0_39_2_-1_1"
"GtA",40,"face",160,11337348,"TRIALID -1_40_1_F2_0.3"
"GtA",40,"feedback",161,11339848,"TRIALID 0_40_2_-1_1"
"socint_score",2,"socint_score",162,11344855,"TRIALID socint_41_3_score_-17"
"NGtW",1,"face",163,11348749,"TRIALID 1_1_1_M1_0.3"
"NGtW",1,"feedback",164,11351266,"TRIALID 1_1_2_1_0"
"NGtW",2,"face",165,11356266,"TRIALID 1_2_1_M1_0.3"
"NGtW",2,"feedback",166,11358764,"TRIALID 0_2_2_1_1"
"NGtW",3,"face",167,11363766,"TRIALID 1_3_1_M1_0.3"
"NGtW",3,"feedback",168,11366265,"TRIALID 0_3_2_1_1"
"NGtW",4,"face",169,11371266,"TRIALID 1_4_1_M1_0.3"
"NGtW",4,"feedback",170,11373765,"TRIALID 0_4_2_1_1"
"NGtW",5,"face",171,11378767,"TRIALID 1_5_1_M1_0.3"
"NGtW",5,"feedback",172,11381266,"TRIALID 1_5_2_1_0"
"NGtW",6,"face",173,11386268,"TRIALID 1_6_1_M1_0.3"
"NGtW",6,"feedback",174,11388767,"TRIALID 1_6_2_1_0"
"NGtW",7,"face",175,11393768,"TRIALID 1_7_1_M1_0.3"
"NGtW",7,"feedback",176,11396267,"TRIALID 0_7_2_1_0"
"NGtW",8,"face",177,11401268,"TRIALID 1_8_1_M1_0.3"
"NGtW",8,"feedback",178,11403768,"TRIALID 1_8_2_1_0"
"NGtW",9,"face",179,11408768,"TRIALID 1_9_1_M1_0.3"
"NGtW",9,"feedback",180,11411268,"TRIALID 0_9_2_1_0"
"NGtW",10,"face",181,11416268,"TRIALID 1_10_1_M1_0.3"
"NGtW",10,"feedback",182,11418768,"TRIALID 0_10_2_1_0"
"NGtW",11,"face",183,11423769,"TRIALID 1_11_1_M1_0.3"
"NGtW",11,"feedback",184,11426269,"TRIALID 0_11_2_1_0"
"NGtW",12,"face",185,11431269,"TRIALID 1_12_1_M1_0.3"
"NGtW",12,"feedback",186,11433770,"TRIALID 1_12_2_1_0"
"NGtW",13,"face",187,11438770,"TRIALID 1_13_1_M1_0.3"
"NGtW",13,"feedback",188,11441270,"TRIALID 0_13_2_1_0"
"NGtW",14,"face",189,11446270,"TRIALID 1_14_1_M1_0.3"
